2017-12-01,00:00:00	2017-12-01	Winter	No 	Yes
2017-12-02,00:00:00	2017-12-02	Winter	No 	Yes
2017-12-03,00:00:00	2017-12-03	Winter	No 	Yes
2017-12-04,00:00:00	2017-12-04	Winter	No 	Yes
2017-12-05,00:00:00	2017-12-05	Winter	No 	Yes
2017-12-06,00:00:00	2017-12-06	Winter	No 	Yes
2017-12-07,00:00:00	2017-12-07	Winter	No 	Yes
2017-12-08,00:00:00	2017-12-08	Winter	No 	Yes
2017-12-09,00:00:00	2017-12-09	Winter	No 	Yes
2017-12-10,00:00:00	2017-12-10	Winter		Yes
2017-12-11,00:00:00	2017-12-11	Winter	No 	Yes
2017-12-12,00:00:00	2017-12-12	Winter	No 	Yes
2017-12-13,00:00:00	2017-12-13	Winter	No 	Yes
2017-12-14,00:00:00	2017-12-14	Winter	No 	Yes
2017-12-15,00:00:00	2017-12-15	Winter	No 	Yes
2017-12-16,00:00:00	2017-12-16	Winter	No 	Yes
2017-12-17,00:00:00	2017-12-17	Winter	No 	Yes
2017-12-18,00:00:00	2017-12-18	Winter	No 	Yes
2017-12-19,00:00:00	2017-12-19	Winter	No 	Yes
2017-12-20,00:00:00	2017-12-20	Winter	No 	Yes
2017-12-21,00:00:00	2017-12-21	Winter	No 	Yes
2017-12-22,00:00:00	2017-12-22	Winter		Yes
2017-12-23,00:00:00	2017-12-23	Winter	No 	Yes
2017-12-24,00:00:00	2017-12-24	Winter		Yes
2017-12-25,00:00:00	2017-12-25	Winter		Yes
2017-12-26,00:00:00	2017-12-26	Winter	No 	Yes
2017-12-27,00:00:00	2017-12-27	Winter	No 	Yes
2017-12-28,00:00:00	2017-12-28	Winter	No 	Yes
2017-12-29,00:00:00	2017-12-29	Winter	No 	Yes
2017-12-30,00:00:00	2017-12-30	Winter	No 	Yes
2017-12-31,00:00:00	2017-12-31	Winter		Yes
2018-01-01,00:00:00	2018-01-01	Winter		Yes
2018-01-02,00:00:00	2018-01-02	Winter	No 	Yes
2018-01-03,00:00:00	2018-01-03		No 	Yes
2018-01-04,00:00:00	2018-01-04	Winter	No 	Yes
2018-01-05,00:00:00	2018-01-05	Winter	No 	Yes
2018-01-06,00:00:00	2018-01-06	Winter	No 	Yes
2018-01-07,00:00:00	2018-01-07	Winter	No 	Yes
2018-01-08,00:00:00	2018-01-08	Winter	No 	Yes
2018-01-09,00:00:00	2018-01-09	Winter	No 	Yes
